data_len;percentage_cons;function;time;score;truthness
20;0;run_cop_kmeans;0.03313922882080078;13.1033417619;False
20;0;PLNE;0.3577280044555664;13.1033417619;False
20;0;call_CSP;0.10269999504089355;13.1033417619;True
20;0;call_GA;1.7731151580810547;13.1033417619;True
20;10;run_cop_kmeans;0.028276920318603516;13.1033417619;False
20;10;PLNE;0.3179020881652832;13.1033417619;False
20;10;call_CSP;0.10695505142211914;13.1033417619;True
20;10;call_GA;1.784332036972046;13.1033417619;True
20;20;run_cop_kmeans;0.03325796127319336;13.1033417619;False
20;20;PLNE;0.2279348373413086;13.1033417619;False
20;20;call_CSP;0.09416508674621582;13.1033417619;True
20;20;call_GA;2.180140972137451;13.1033417619;True
20;30;run_cop_kmeans;0.03337287902832031;13.1033417619;False
20;30;PLNE;0.2602660655975342;13.1033417619;False
20;30;call_CSP;0.10645890235900879;13.1033417619;True
20;30;call_GA;2.5616400241851807;13.1033417619;True
20;40;run_cop_kmeans;0.03294014930725098;13.1033417619;False
20;40;PLNE;0.23544764518737793;13.1033417619;False
20;40;call_CSP;0.09375214576721191;13.1033417619;True
20;40;call_GA;1.641779899597168;13.1033417619;True
20;50;run_cop_kmeans;0.029426097869873047;13.1033417619;False
20;50;PLNE;0.23940300941467285;13.1033417619;False
20;50;call_CSP;0.07539510726928711;13.1033417619;True
20;50;call_GA;1.980903148651123;13.1033417619;True
20;60;run_cop_kmeans;0.029494047164916992;13.1033417619;False
20;60;PLNE;0.2283029556274414;13.1033417619;False
20;60;call_CSP;0.10506200790405273;13.1033417619;True
20;60;call_GA;2.3412158489227295;13.1033417619;True
20;70;run_cop_kmeans;0.029271841049194336;13.1033417619;False
20;70;PLNE;0.23775410652160645;13.1033417619;False
20;70;call_CSP;0.08726787567138672;13.1033417619;True
20;70;call_GA;1.0535752773284912;13.1033417619;True
20;80;run_cop_kmeans;0.02962207794189453;13.1033417619;False
20;80;PLNE;0.25629496574401855;13.1033417619;False
20;80;call_CSP;0.10875606536865234;13.1033417619;True
20;80;call_GA;1.949922800064087;13.1033417619;True
20;90;run_cop_kmeans;0.02896595001220703;13.1033417619;False
20;90;PLNE;0.2374582290649414;13.1033417619;False
20;90;call_CSP;0.09795093536376953;13.1033417619;True
20;90;call_GA;0.8780438899993896;13.1033417619;True
50;0;run_cop_kmeans;0.08777904510498047;16.2246713868;False
50;0;PLNE;2.371870994567871;16.2246713868;False
50;0;call_CSP;0.6848649978637695;16.2246713868;True
50;0;call_GA;4.745482921600342;15.0873746483;True
50;10;run_cop_kmeans;0.08522987365722656;16.2246713868;False
50;10;PLNE;1.862718105316162;16.2246713868;False
50;10;call_CSP;0.48789310455322266;16.2246713868;True
50;10;call_GA;5.003234148025513;16.2246713868;True
50;20;run_cop_kmeans;0.08905696868896484;16.2246713868;False
50;20;PLNE;1.5540599822998047;16.2246713868;False
50;20;call_CSP;0.4529402256011963;16.2246713868;True
50;20;call_GA;4.959021806716919;15.0873746483;True
50;30;run_cop_kmeans;0.08887410163879395;16.2246713868;False
50;30;PLNE;1.4200832843780518;16.2246713868;False
50;30;call_CSP;0.32164597511291504;16.2246713868;True
50;30;call_GA;4.936797142028809;16.2246713868;True
50;40;run_cop_kmeans;0.087493896484375;16.2246713868;False
50;40;PLNE;1.4674019813537598;16.2246713868;False
50;40;call_CSP;0.406829833984375;16.2246713868;True
50;40;call_GA;4.4195451736450195;16.2246713868;True
50;50;run_cop_kmeans;0.09640216827392578;16.2246713868;False
50;50;PLNE;1.4894609451293945;16.2246713868;False
50;50;call_CSP;0.48708581924438477;16.2246713868;True
50;50;call_GA;4.178838729858398;16.2246713868;True
50;60;run_cop_kmeans;0.08938002586364746;16.2246713868;False
50;60;PLNE;1.5453870296478271;16.2246713868;False
50;60;call_CSP;0.46950411796569824;16.2246713868;True
50;60;call_GA;4.955317974090576;16.2246713868;True
50;70;run_cop_kmeans;0.08961296081542969;16.2246713868;False
50;70;PLNE;1.5396687984466553;16.2246713868;False
50;70;call_CSP;0.49736714363098145;16.2246713868;True
50;70;call_GA;4.997876882553101;15.0873746483;True
50;80;run_cop_kmeans;0.08927488327026367;16.2246713868;False
50;80;PLNE;1.4533460140228271;16.2246713868;False
50;80;call_CSP;0.42818117141723633;16.2246713868;True
50;80;call_GA;3.40848708152771;15.0873746483;True
50;90;run_cop_kmeans;0.09211587905883789;16.2246713868;False
50;90;PLNE;1.4677941799163818;16.2246713868;False
50;90;call_CSP;0.29309988021850586;16.2246713868;True
50;90;call_GA;3.165092945098877;15.0873746483;True
100;0;run_cop_kmeans;0.2005748748779297;17.410919784;False
100;0;PLNE;17.684421062469482;17.410919784;False
100;0;call_CSP;3.1536178588867188;17.410919784;True
100;0;call_GA;12.387403011322021;17.410919784;True
100;10;run_cop_kmeans;0.19481205940246582;17.410919784;False
100;10;PLNE;7.365511894226074;17.410919784;False
100;10;call_CSP;1.8321821689605713;17.410919784;True
100;10;call_GA;7.293314218521118;16.3359576997;True
100;20;run_cop_kmeans;0.1895580291748047;17.410919784;False
100;20;PLNE;5.916666746139526;17.410919784;False
100;20;call_CSP;1.134376049041748;17.410919784;True
100;20;call_GA;10.857990264892578;16.3359576997;True
100;30;run_cop_kmeans;0.18750905990600586;17.410919784;False
100;30;PLNE;5.856074094772339;17.410919784;False
100;30;call_CSP;1.8198118209838867;17.410919784;True
100;30;call_GA;9.430034875869751;17.410919784;True
100;40;run_cop_kmeans;0.18793487548828125;17.410919784;False
100;40;PLNE;6.57439112663269;17.410919784;False
100;40;call_CSP;1.6878480911254883;17.410919784;True
